iter	Passed	Remaining
553	5893	6871
554	5902	6859
555	5912	6848
556	5922	6836
557	5931	6824
558	5941	6813
559	5950	6800
560	5960	6789
561	5970	6777
562	5979	6765
563	5989	6753
564	5998	6742
565	6008	6730
566	6018	6718
567	6027	6706
568	6037	6695
569	6046	6682
570	6056	6671
571	6065	6659
572	6075	6648
573	6085	6637
574	6095	6626
575	6106	6614
576	6115	6602
577	6125	6591
578	6136	6581
579	6146	6569
580	6156	6558
581	6164	6546
582	6174	6534
583	6183	6522
584	6193	6511
585	6203	6500
586	6212	6487
587	6222	6476
588	6231	6464
589	6241	6452
590	6251	6442
591	6262	6431
592	6272	6420
593	6283	6410
594	6294	6399
595	6304	6388
596	6314	6377
597	6323	6365
598	6333	6354
599	6342	6342
600	6352	6331
601	6362	6320
602	6372	6309
603	6382	6298
604	6392	6286
605	6402	6276
606	6413	6265
607	6422	6253
608	6442	6252
609	6457	6245
610	6469	6236
611	6480	6225
612	6490	6214
613	6500	6204
614	6510	6193
615	6520	6181
616	6530	6170
617	6540	6159
618	6550	6148
619	6561	6137
620	6570	6126
621	6580	6115
622	6590	6104
623	6601	6093
624	6611	6082
625	6620	6070
626	6631	6060
627	6641	6048
628	6651	6038
629	6661	6027
630	6670	6015
631	6680	6003
632	6690	5992
633	6700	5981
634	6709	5970
635	6718	5957
636	6728	5946
637	6737	5934
638	6747	5924
639	6757	5913
640	6767	5901
641	6776	5890
642	6786	5878
643	6795	5867
644	6805	5855
645	6815	5844
646	6825	5833
647	6834	5821
648	6844	5811
649	6854	5799
650	6863	5788
651	6873	5777
652	6882	5765
653	6893	5754
654	6902	5743
655	6913	5733
656	6923	5722
657	6932	5710
658	6943	5699
659	6953	5689
660	6963	5678
661	6973	5667
662	6982	5655
663	6992	5644
664	7002	5633
665	7017	5626
666	7031	5618
667	7046	5611
668	7062	5605
669	7072	5594
670	7087	5587
671	7096	5576
672	7107	5565
673	7116	5553
674	7127	5543
675	7137	5532
676	7147	5521
677	7157	5510
678	7166	5499
679	7176	5487
680	7203	5490
681	7212	5478
682	7223	5467
683	7233	5456
684	7242	5445
685	7253	5434
686	7262	5423
687	7274	5413
688	7283	5402
689	7293	5391
690	7304	5380
691	7315	5370
692	7325	5359
693	7336	5348
694	7346	5338
695	7357	5327
696	7368	5317
697	7379	5307
698	7389	5296
699	7399	5285
700	7409	5274
701	7419	5263
702	7429	5252
703	7440	5241
704	7450	5231
705	7459	5219
706	7470	5208
707	7479	5197
708	7489	5186
709	7499	5175
